,class_number,is_rong,is_new,is_active,online_dur,cust_age,sex,offer_type,month_charge,arpu,avg_flow,month_flow,flow_trend,trmnl_kind,thrmonth_avgarpu,arpu_trend,trmnl_month,is_contract,agr_exp_date,callll_dur,calling_dur,called_dur,roamcall_dur,call_dur_avg,calling_dur_avg,called_dur_avg,roamcall_dur_avg,thrmon_call_trend,thrmon_calling_trend,thrmon_called_trend,thrmon_roamcall_trend,calling_flow,is_zeroflow,is_highflow,is_flow_over,flow_rate,predict,target,prob
368,0,0,0,1,80,0,2,0,6000,4261,20.30958049,60.92874146,3.0,2,3133.666667,1.3597489630000001,346,0,23800,1820.0,1.0,12.0,1807.0,1857.0,17.0,0.0,0.0,0.98007539,0.058823529000000006,0.0,0.0,0.000549451,0,0,1,2.0,0,0,[9.99250936e-01 7.49064410e-04]
887,0,0,0,1,78,44,1,0,17193,10,0.08726565,0.261796951,3.0,2,1630.0,0.0061349690000000005,88,0,23800,65.0,1.0,0.0,64.0,74.0,2.0,0.0,0.0,0.878378378,0.5,0.0,0.0,0.015384615,1,0,0,0.013232421999999999,0,0,[0.93127714 0.06872286]
225,0,0,0,1,60,28,1,0,1789,1940,27.84423097,83.53269291,3.0,2,1930.0,1.005181347,627,0,23800,2305.0,0.0,0.0,2305.0,2306.8,1.0,0.0,0.0,0.999219698,0.0,0.0,0.0,0.0,0,0,1,2.0,0,0,[9.99915960e-01 8.40401935e-05]
551,0,2,0,1,44,50,1,0,11200,4343,33.40261428,71.56495094,2.142495505,2,4343.0,1.0,100,0,5,2588.9,57.9,14.0,2482.0,2744.9,59.9,0.0,0.0,0.9431673290000001,0.9666110179999999,0.0,0.0,0.022364711000000002,0,0,0,0.069964409,0,0,[0.97186393 0.02813607]
11,0,2,0,1,49,38,1,0,27732,16218,966.9470732999999,2882.049441,2.980565866,2,10932.0,1.483534577,110,0,-18,12485.0,729.7,594.3,11241.2,12512.0,731.7,0.0,11267.2,0.9978420720000001,0.997266639,0.0,0.997692417,0.058446135,0,1,1,2.8148069380000003,0,1,[0.54270177 0.45729823]
84,0,2,0,1,34,46,1,0,13605,8350,100.3553562,300.8667822,2.998014192,0,5962.666667,1.400380143,151,0,23800,670.0,23.0,1.0,646.0,714.0,52.0,12.0,0.0,0.93837535,0.44230769200000003,0.083333333,0.0,0.034328357999999996,0,0,0,0.146084309,0,1,[0.98741552 0.01258448]
826,0,2,0,1,35,19,1,0,15756,4698,709.5831232,1253.169542,1.76606447,2,4698.0,1.0,98,0,23800,6293.8,52.0,112.8,6292.8,7085.9,124.8,0.0,7083.9,0.888214623,0.41666666700000005,0.0,0.888324228,0.008262099,0,1,1,1.04443278,0,0,[0.92784023 0.07215977]
455,0,0,0,1,87,62,1,0,2635,5731,86.46974055,259.4092216,3.0,2,3327.0,1.7225728880000002,295,0,23800,16812.0,158.0,126.0,0.0,17468.0,426.0,514.0,0.0,0.962445615,0.37089201899999996,0.245136187,0.0,0.009398049,0,0,1,2.0,0,0,[0.84455705 0.15544295]
624,0,0,0,1,27,51,0,0,3871,1563,3.2650594710000003,7.305630684,2.237518412,1,1816.6666670000002,0.860366972,799,0,23800,6909.8,124.8,82.0,0.0,7427.1,421.1,300.0,0.0,0.930349665,0.296366659,0.273333333,0.0,0.018061304,1,0,0,0.375537109,0,0,[9.99904468e-01 9.55315890e-05]
222,0,0,0,1,39,53,1,0,2904,3835,174.1342382,522.4027146999999,3.0,1,2120.666667,1.8083935869999999,99,0,23800,16702.9,205.0,82.9,0.9,16714.9,207.0,0.0,0.0,0.999282078,0.9903381640000001,0.0,0.0,0.012273318,0,1,1,1.0047475959999999,0,0,[0.97248141 0.02751859]
